Test;;Durchlauf;;;;;;;
;;1;2;3;4;5;;Mittelwert;Variationskoeffizient
FunctionPointer;;21,08 ms;22,24 ms;26,21 ms;23,75 ms;22,32 ms;;23,12 ms;8,53%
Lambda;;33,86 ms;34,05 ms;34,75 ms;37,34 ms;32,38 ms;;34,47 ms;5,28%
LambdaCapture;;71,80 ms;80,91 ms;83,29 ms;69,38 ms;71,79 ms;;75,44 ms;8,25%
FunctionPure;;322,32 ms;330,33 ms;320,15 ms;323,41 ms;307,74 ms;;320,79 ms;2,57%
FunctionCapture;;355,51 ms;369,18 ms;343,77 ms;359,32 ms;340,03 ms;;353,56 ms;3,35%
FunctionHeap;;1028,21 ms;1001,25 ms;931,09 ms;958,55 ms;962,13 ms;;976,25 ms;3,93%
StructHeap;;179,45 ms;163,97 ms;165,12 ms;166,80 ms;190,48 ms;;173,16 ms;6,64%
GoFunctionPure;;38,55 ms;41,08 ms;44,45 ms;44,21 ms;50,07 ms;;43,67 ms;9,90%
GoFunctionCapture;;46,22 ms;44,22 ms;46,69 ms;46,72 ms;50,62 ms;;46,90 ms;4,95%
GoFunctionHeap;;56,36 ms;70,53 ms;71,60 ms;68,45 ms;62,87 ms;;65,96 ms;9,61%
GoFunctionPure2;;247,11 ms;238,80 ms;227,10 ms;239,30 ms;232,27 ms;;236,92 ms;3,21%
GoFunctionCapture2;;426,66 ms;414,17 ms;419,53 ms;457,85 ms;503,35 ms;;444,31 ms;8,35%
GoFunctionHeap2;;456,36 ms;478,31 ms;471,07 ms;494,93 ms;438,56 ms;;467,85 ms;4,59%
LambdaLift;;94,56 ms;96,10 ms;88,93 ms;96,79 ms;87,82 ms;;92,84 ms;4,50%
